User ID,Created At,Tweet
1656387888458678276,2024-06-19 17:13:45+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
3177787301,2024-06-19 16:57:13+00:00,"RT @saeersabil: 🟣  المجرم ""بورمحمدي"" مرشح خامنئي يقول إن حكومته هي حكومة الحب!!..
«پورمحمدی» جنایتکار، کاندیدای خامنه‌ای میگوید دولت او دول…"
849935453868376065,2024-06-19 16:40:01+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
1642136411427020807,2024-06-19 16:31:49+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
844315335402639361,2024-06-19 16:31:29+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
1754956620704972800,2024-06-19 16:30:39+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
960523151972143105,2024-06-19 16:18:37+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
1147080345067687936,2024-06-19 16:18:15+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
948073178621911040,2024-06-19 16:14:29+00:00,"RT @saeersabil: 🟣  المجرم ""بورمحمدي"" مرشح خامنئي يقول إن حكومته هي حكومة الحب!!..
«پورمحمدی» جنایتکار، کاندیدای خامنه‌ای میگوید دولت او دول…"
968977423571259392,2024-06-19 16:14:24+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
1384563180362416129,2024-06-19 16:02:47+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
948073178621911040,2024-06-19 16:01:09+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the…"
770315008173629441,2024-06-19 15:49:50+00:00,"#FreeIran2024
#IranRevolution : The criminal Mustafa Pourmohammadi is a criminal like the #1988Massacre!
Because she is the most obedient and the most executioner, and she has no angle with Khamenei in the killing, execution, and massacre, and to this day she supports the # 67… https://t.co/ru5kI1zmqq https://t.co/wtWMp2Jvf4"
2172199784,2024-06-19 15:43:22+00:00,"RT @Mision_Verdad: 🇮🇷 Reciente encuesta sobre la campaña presidencial de Irán:

""En las próximas elecciones presidenciales, ¿por qué candid…"
801184628,2024-06-19 15:33:59+00:00,"🇮🇷 Reciente encuesta sobre la campaña presidencial de Irán:

""En las próximas elecciones presidenciales, ¿por qué candidato votará usted?""

– 24,8% Ghalibaf
– 24,7% Jalili
– 23,1% pezeshkianos
– 4,9% Ghazizadeh-Hashemi
– 1,6% Pourmohammadi
– 1,1% zakani

19,8% Indecisos https://t.co/Kcjjo74mhw"
1147080345067687936,2024-06-19 15:27:18+00:00,"RT @sheriran95: #FreeIran2024
#IranRevolution : Mostafa Pourmohammadi's life is full of crimes.
Mostafa Pourmohammadi has been the advisor…"
